elites,descriptors,fitnesses
CN1CCN(CCN(C)S(=O)(=O)c2ccc3ccccc3c2)CC1,"[0.3702022667878788, 0.36795, 0.3132857142857143, 0.6411200000000007]",0.5454545454545454
CN1CCC(C(=O)N(F)CN(C)S(=O)(=O)c2ccc3c(Br)cccc3c2)CC1,"[0.7456447058060608, 0.6225333333333336, 0.4352142857142858, 0.7737644444444448]",0.32786885245901637
CN1CCN(CCN2c3ccccc3Sc3ccc(S(=O)(=O)N(C)[N+](=O)[O-])cc32)CC1,"[0.7216205947878785, 0.4748166666666667, 0.6445714285714287, 0.8877022222222231]",0.5779816513761468
Cc1ccc2c(c1)N(C)c1ccccc1S2,"[0.006293546715151489, 0.7879200000000003, 0.023142857142857146, 0.33118888888888925]",0.32323232323232326
O=C(N1c2ccccc2Sc2ccc([N+](=O)[O-])cc21)S(=O)(=O)N1CCCC1,"[0.5455918563030302, 0.7071833333333339, 0.7202142857142857, 0.6769244444444449]",0.3416666666666667
CN1CCN(OC(=O)S(=O)(=O)c2ccc3ccccc3c2)CC1,"[0.33060220623030295, 0.4020833333333333, 0.47800000000000004, 0.5187200000000007]",0.3888888888888889
CN1CCN(CCN(Br)N(C)N2CCN(CN(C)N=Cc3ccccc3)CC2)CC1,"[0.7734316826787881, 0.27475000000000055, 0.25028571428571433, 0.9682777777777783]",0.3153846153846154
CN1CCN(CCC=CN(C)S(=O)(=O)c2ccc3ccccc3c2)CC1,"[0.44903757001212125, 0.5185833333333334, 0.3132857142857143, 0.7398977777777785]",0.5588235294117647
CN(O)N1c2ccccc2Sc2cc(S(=O)(=O)N[N+](=O)[O-])ccc21,"[0.4334088226787878, 0.4158833333333334, 0.8287142857142857, 0.5112377777777779]",0.336283185840708
CN(C)C=CN(C)N(Br)CCN1CCN(C)CC1,"[0.2852641149454545, 0.20421666666666682, 0.11571428571428573, 0.4462222222222228]",0.2761904761904762
CN(C(N)(N)CCN)S(=O)(=O)c1ccc2ccccc2c1,"[0.25191120266666656, 0.14671666666666686, 0.8245714285714285, 0.48526666666666707]",0.30275229357798167
CCC=C(C)CN(C)S(=O)(=O)c1ccc2c(NC(=N)N)cccc2c1,"[0.4095818091151516, 0.6036616666666669, 0.7091428571428572, 0.7038733333333336]",0.275
CN1CCN(S(=O)(=O)c2ccccc2)CC1,"[0.04573711743030301, 0.18711666666666663, 0.2901428571428572, 0.25219777777777824]",0.3541666666666667
Cc1ccc(S(=O)(=O)N(C)Cl)cc1[N+](=O)[O-],"[0.11817319832727273, 0.3629200000000001, 0.5751428571428571, 0.2070577777777779]",0.21153846153846154
CCCN1c2ccccc2Sc2ccc(S(=O)(=O)N(C)[N+](=O)[O-])cc21,"[0.4668668121939394, 0.6685833333333338, 0.5982857142857143, 0.6249688888888896]",0.41284403669724773
CN1CCN(CCN(S(=O)(=O)c2ccc3ccccc3c2)S(=O)(=O)N(C)C)CC1,"[0.6519854465939393, 0.2307166666666669, 0.5802857142857143, 0.8264844444444452]",0.5277777777777778
